Index,X (m),Y (m),Z (m),Distance (m),Power (dBm),Phase (deg)
1,-27.2518,-16.1136,2.5,37.5235,-250.0,0.0
2,-26.7518,-16.1136,2.5,37.1661,-250.0,0.0
3,-26.2518,-16.1136,2.5,36.812,-250.0,0.0
4,-25.7518,-16.1136,2.5,36.4613,-250.0,0.0
5,-25.2518,-16.1136,2.5,36.1141,-250.0,0.0
6,-24.7518,-16.1136,2.5,35.7705,-250.0,0.0
7,-24.2518,-16.1136,2.5,35.4307,-250.0,0.0
8,-23.7518,-16.1136,2.5,35.0947,-250.0,0.0
9,-23.2518,-16.1136,2.5,34.7627,-250.0,0.0
10,-22.7518,-16.1136,2.5,34.4347,-250.0,0.0
11,-22.2518,-16.1136,2.5,34.1109,-250.0,0.0
12,-21.7518,-16.1136,2.5,33.7913,-250.0,0.0
13,-21.2518,-16.1136,2.5,33.4762,-250.0,0.0
14,-20.7518,-16.1136,2.5,33.1657,-250.0,0.0
15,-20.2518,-16.1136,2.5,32.8598,-250.0,0.0
16,-19.7518,-16.1136,2.5,32.5587,-250.0,0.0
17,-19.2518,-16.1136,2.5,32.2626,-250.0,0.0
18,-18.7518,-16.1136,2.5,31.9715,-250.0,0.0
19,-18.2518,-16.1136,2.5,31.6857,-250.0,0.0
20,-17.7518,-16.1136,2.5,31.4052,-250.0,0.0
21,-17.2518,-16.1136,2.5,31.1302,-250.0,0.0
22,-16.7518,-16.1136,2.5,30.8609,-250.0,0.0
23,-16.2518,-16.1136,2.5,30.5973,-250.0,0.0
24,-15.7518,-16.1136,2.5,30.3398,-250.0,0.0
25,-15.2518,-16.1136,2.5,30.0883,-250.0,0.0
26,-14.7518,-16.1136,2.5,29.8431,-250.0,0.0
27,-14.2518,-16.1136,2.5,29.6043,-250.0,0.0
28,-13.7518,-16.1136,2.5,29.372,-250.0,0.0
29,-13.2518,-16.1136,2.5,29.1465,-250.0,0.0
30,-12.7518,-16.1136,2.5,28.9279,-250.0,0.0
31,-12.2518,-16.1136,2.5,28.7163,-250.0,0.0
32,-11.7518,-16.1136,2.5,28.512,-250.0,0.0
33,-11.2518,-16.1136,2.5,28.3149,-250.0,0.0
34,-10.7518,-16.1136,2.5,28.1254,-250.0,0.0
35,-10.2518,-16.1136,2.5,27.9436,-250.0,0.0
36,-9.75181,-16.1136,2.5,27.7695,-250.0,0.0
37,-9.25181,-16.1136,2.5,27.6035,-250.0,0.0
38,-8.75181,-16.1136,2.5,27.4455,-250.0,0.0
39,-8.25181,-16.1136,2.5,27.2958,-250.0,0.0
40,-7.75181,-16.1136,2.5,27.1544,-250.0,0.0
41,-7.25181,-16.1136,2.5,27.0216,-250.0,0.0
42,-6.75181,-16.1136,2.5,26.8974,-250.0,0.0
43,-6.25181,-16.1136,2.5,26.782,-250.0,0.0
44,-5.75181,-16.1136,2.5,26.6754,-250.0,0.0
45,-5.25181,-16.1136,2.5,26.5779,-250.0,0.0
46,-4.75181,-16.1136,2.5,26.4894,-250.0,0.0
47,-4.25181,-16.1136,2.5,26.41,-250.0,0.0
48,-3.75181,-16.1136,2.5,26.34,-250.0,0.0
49,-3.25181,-16.1136,2.5,26.2792,-250.0,0.0
50,-2.75181,-16.1136,2.5,26.2279,-250.0,0.0
51,-2.25181,-16.1136,2.5,26.186,-250.0,0.0
52,-1.75181,-16.1136,2.5,26.1536,-250.0,0.0
53,-1.25181,-16.1136,2.5,26.1307,-250.0,0.0
54,-0.751808,-16.1136,2.5,26.1174,-250.0,0.0
55,-0.251808,-16.1136,2.5,26.1136,-250.0,0.0
56,0.248192,-16.1136,2.5,26.1194,-250.0,0.0
57,0.748192,-16.1136,2.5,26.1348,-250.0,0.0
58,1.24819,-16.1136,2.5,26.1598,-250.0,0.0
59,1.74819,-16.1136,2.5,26.1942,-250.0,0.0
60,2.24819,-16.1136,2.5,26.2381,-250.0,0.0
61,2.74819,-16.1136,2.5,26.2915,-250.0,0.0
62,3.24819,-16.1136,2.5,26.3543,-250.0,0.0
63,3.74819,-16.1136,2.5,26.4263,-250.0,0.0
64,4.24819,-16.1136,2.5,26.5077,-250.0,0.0
65,4.74819,-16.1136,2.5,26.5981,-250.0,0.0
66,5.24819,-16.1136,2.5,26.6976,-250.0,0.0
67,5.74819,-16.1136,2.5,26.8061,-250.0,0.0
68,6.24819,-16.1136,2.5,26.9234,-250.0,0.0
69,6.74819,-16.1136,2.5,27.0495,-250.0,0.0
70,7.24819,-16.1136,2.5,27.1842,-250.0,0.0
71,7.74819,-16.1136,2.5,27.3273,-250.0,0.0
72,8.24819,-16.1136,2.5,27.4788,-250.0,0.0
73,8.74819,-16.1136,2.5,27.6386,-250.0,0.0
74,9.24819,-16.1136,2.5,27.8064,-250.0,0.0
75,-27.2518,-15.6136,2.5,37.1773,-250.0,0.0
76,-26.7518,-15.6136,2.5,36.8165,-112.05,-156.745
77,-26.2518,-15.6136,2.5,36.459,-111.29,-102.452
78,-25.7518,-15.6136,2.5,36.1049,-126.556,125.566
79,-25.2518,-15.6136,2.5,35.7542,-110.85,-87.5768
80,-24.7518,-15.6136,2.5,35.4072,-119.343,-64.8126
81,-24.2518,-15.6136,2.5,35.0638,-118.813,-102.946
82,-23.7518,-15.6136,2.5,34.7243,-113.878,69.2364
83,-23.2518,-15.6136,2.5,34.3887,-250.0,0.0
84,-22.7518,-15.6136,2.5,34.0571,-115.365,-129.828
85,-22.2518,-15.6136,2.5,33.7296,-120.742,152.89
86,-21.7518,-15.6136,2.5,33.4065,-250.0,0.0
87,-21.2518,-15.6136,2.5,33.0877,-125.807,66.2189
88,-20.7518,-15.6136,2.5,32.7735,-123.038,-121.155
89,-20.2518,-15.6136,2.5,32.4639,-250.0,0.0
90,-19.7518,-15.6136,2.5,32.1591,-160.551,-101.187
91,-19.2518,-15.6136,2.5,31.8592,-139.955,68.1544
92,-18.7518,-15.6136,2.5,31.5645,-250.0,0.0
93,-18.2518,-15.6136,2.5,31.2749,-250.0,0.0
94,-17.7518,-15.6136,2.5,30.9907,-137.349,104.593
95,-17.2518,-15.6136,2.5,30.712,-108.181,74.4902
96,-16.7518,-15.6136,2.5,30.439,-108.984,164.461
97,-16.2518,-15.6136,2.5,30.1717,-111.263,140.621
98,-15.7518,-15.6136,2.5,29.9105,-118.213,65.6174
99,-15.2518,-15.6136,2.5,29.6554,-132.224,169.105
100,-14.7518,-15.6136,2.5,29.4066,-128.46,-61.9078
101,-14.2518,-15.6136,2.5,29.1642,-117.2,151.565
102,-13.7518,-15.6136,2.5,28.9284,-145.975,170.753
103,-13.2518,-15.6136,2.5,28.6994,-158.805,-43.9758
104,-12.7518,-15.6136,2.5,28.4774,-126.108,-123.429
105,-12.2518,-15.6136,2.5,28.2624,-116.125,8.94928
106,-11.7518,-15.6136,2.5,28.0547,-96.0763,108.938
107,-11.2518,-15.6136,2.5,27.8545,-96.0873,136.352
108,-10.7518,-15.6136,2.5,27.6618,-99.1264,15.6842
109,-10.2518,-15.6136,2.5,27.4769,-101.871,143.149
110,-9.75181,-15.6136,2.5,27.2999,-102.605,-70.4403
111,-9.25181,-15.6136,2.5,27.1309,-103.353,101.833
112,-8.75181,-15.6136,2.5,26.9702,-115.986,92.2833
113,-8.25181,-15.6136,2.5,26.8178,-101.337,-162.041
114,-7.75181,-15.6136,2.5,26.674,-93.9634,-60.7358
115,-7.25181,-15.6136,2.5,26.5387,-97.0915,31.2322
116,-6.75181,-15.6136,2.5,26.4123,-86.7118,90.3542
117,-6.25181,-15.6136,2.5,26.2947,-81.4489,109.735
118,-5.75181,-15.6136,2.5,26.1862,-82.0552,-32.7889
119,-5.25181,-15.6136,2.5,26.0868,-83.5341,-24.8216
120,-4.75181,-15.6136,2.5,25.9966,-83.3567,40.7858
121,-4.25181,-15.6136,2.5,25.9158,-85.0373,-135.037
122,-3.75181,-15.6136,2.5,25.8444,-250.0,0.0
123,-3.25181,-15.6136,2.5,25.7824,-250.0,0.0
124,-2.75181,-15.6136,2.5,25.7301,-250.0,0.0
125,-2.25181,-15.6136,2.5,25.6874,-250.0,0.0
126,-1.75181,-15.6136,2.5,25.6544,-250.0,0.0
127,-1.25181,-15.6136,2.5,25.631,-250.0,0.0
128,-0.751808,-15.6136,2.5,25.6174,-250.0,0.0
129,-0.251808,-15.6136,2.5,25.6136,-250.0,0.0
130,0.248192,-15.6136,2.5,25.6195,-250.0,0.0
131,0.748192,-15.6136,2.5,25.6352,-250.0,0.0
132,1.24819,-15.6136,2.5,25.6607,-250.0,0.0
133,1.74819,-15.6136,2.5,25.6958,-250.0,0.0
134,2.24819,-15.6136,2.5,25.7406,-250.0,0.0
135,2.74819,-15.6136,2.5,25.795,-250.0,0.0
136,3.24819,-15.6136,2.5,25.8589,-250.0,0.0
137,3.74819,-15.6136,2.5,25.9324,-250.0,0.0
138,4.24819,-15.6136,2.5,26.0152,-83.8964,-121.916
139,4.74819,-15.6136,2.5,26.1074,-86.7693,75.6039
140,5.24819,-15.6136,2.5,26.2088,-81.9115,55.0195
141,5.74819,-15.6136,2.5,26.3193,-81.7663,129.684
142,6.24819,-15.6136,2.5,26.4388,-88.1644,-42.0
143,6.74819,-15.6136,2.5,26.5671,-83.3396,144.571
144,7.24819,-15.6136,2.5,26.7042,-86.9968,-145.419
145,7.74819,-15.6136,2.5,26.8499,-99.9556,-135.204
146,8.24819,-15.6136,2.5,27.0041,-107.565,48.9626
147,8.74819,-15.6136,2.5,27.1666,-114.977,20.9939
148,9.24819,-15.6136,2.5,27.3373,-250.0,0.0
149,-27.2518,-15.1136,2.5,36.8346,-250.0,0.0
150,-26.7518,-15.1136,2.5,36.4704,-108.471,171.304
151,-26.2518,-15.1136,2.5,36.1095,-110.39,104.514
152,-25.7518,-15.1136,2.5,35.7519,-111.929,35.1492
153,-25.2518,-15.1136,2.5,35.3978,-250.0,0.0
154,-24.7518,-15.1136,2.5,35.0472,-113.175,-82.7957
155,-24.2518,-15.1136,2.5,34.7003,-138.43,-22.8765
156,-23.7518,-15.1136,2.5,34.3571,-113.268,51.402
157,-23.2518,-15.1136,2.5,34.0179,-118.176,77.3849
158,-22.7518,-15.1136,2.5,33.6826,-250.0,0.0
159,-22.2518,-15.1136,2.5,33.3515,-116.09,153.174
160,-21.7518,-15.1136,2.5,33.0247,-250.0,0.0
161,-21.2518,-15.1136,2.5,32.7022,-117.255,33.6732
162,-20.7518,-15.1136,2.5,32.3842,-156.492,39.3621
163,-20.2518,-15.1136,2.5,32.0709,-250.0,0.0
164,-19.7518,-15.1136,2.5,31.7623,-122.62,65.2865
165,-19.2518,-15.1136,2.5,31.4587,-144.061,-157.667
166,-18.7518,-15.1136,2.5,31.1601,-250.0,0.0
167,-18.2518,-15.1136,2.5,30.8667,-137.835,-92.6988
168,-17.7518,-15.1136,2.5,30.5787,-112.967,15.1204
169,-17.2518,-15.1136,2.5,30.2963,-112.526,62.9539
170,-16.7518,-15.1136,2.5,30.0194,-118.78,-169.278
171,-16.2518,-15.1136,2.5,29.7485,-111.512,160.28
172,-15.7518,-15.1136,2.5,29.4835,-118.936,-24.2476
173,-15.2518,-15.1136,2.5,29.2246,-123.846,-61.5985
174,-14.7518,-15.1136,2.5,28.9721,-127.72,44.3175
175,-14.2518,-15.1136,2.5,28.7261,-133.581,27.6317
176,-13.7518,-15.1136,2.5,28.4867,-134.034,-157.038
177,-13.2518,-15.1136,2.5,28.2541,-250.0,0.0
178,-12.7518,-15.1136,2.5,28.0285,-175.531,151.185
179,-12.2518,-15.1136,2.5,27.8101,-101.441,49.2161
180,-11.7518,-15.1136,2.5,27.599,-97.0269,97.8468
181,-11.2518,-15.1136,2.5,27.3954,-99.258,124.817
182,-10.7518,-15.1136,2.5,27.1995,-100.584,85.7841
183,-10.2518,-15.1136,2.5,27.0114,-99.195,-118.872
184,-9.75181,-15.1136,2.5,26.8313,-105.506,-41.8807
185,-9.25181,-15.1136,2.5,26.6594,-103.692,68.5926
