N,X,Y,Angle,Power (dBm)
1.0,-27.2518,-16.1136,-170,-250.0
2.0,-26.7518,-16.1136,-170,-250.0
3.0,-26.2518,-16.1136,-170,-250.0
4.0,-25.7518,-16.1136,-170,-250.0
5.0,-25.2518,-16.1136,-170,-250.0
6.0,-24.7518,-16.1136,-170,-250.0
7.0,-24.2518,-16.1136,-170,-250.0
8.0,-23.7518,-16.1136,-170,-250.0
9.0,-23.2518,-16.1136,-170,-250.0
10.0,-22.7518,-16.1136,-170,-250.0
11.0,-22.2518,-16.1136,-170,-250.0
12.0,-21.7518,-16.1136,-170,-250.0
13.0,-21.2518,-16.1136,-170,-250.0
14.0,-20.7518,-16.1136,-170,-250.0
15.0,-20.2518,-16.1136,-170,-250.0
16.0,-19.7518,-16.1136,-170,-250.0
17.0,-19.2518,-16.1136,-170,-250.0
18.0,-18.7518,-16.1136,-170,-250.0
19.0,-18.2518,-16.1136,-170,-250.0
20.0,-17.7518,-16.1136,-170,-250.0
21.0,-17.2518,-16.1136,-170,-250.0
22.0,-16.7518,-16.1136,-170,-250.0
23.0,-16.2518,-16.1136,-170,-250.0
24.0,-15.7518,-16.1136,-170,-250.0
25.0,-15.2518,-16.1136,-170,-250.0
26.0,-14.7518,-16.1136,-170,-250.0
27.0,-14.2518,-16.1136,-170,-250.0
28.0,-13.7518,-16.1136,-170,-250.0
29.0,-13.2518,-16.1136,-170,-250.0
30.0,-12.7518,-16.1136,-170,-250.0
31.0,-12.2518,-16.1136,-170,-250.0
32.0,-11.7518,-16.1136,-170,-250.0
33.0,-11.2518,-16.1136,-170,-250.0
34.0,-10.7518,-16.1136,-170,-250.0
35.0,-10.2518,-16.1136,-170,-250.0
36.0,-9.75181,-16.1136,-170,-250.0
37.0,-9.25181,-16.1136,-170,-250.0
38.0,-8.75181,-16.1136,-170,-250.0
39.0,-8.25181,-16.1136,-170,-250.0
40.0,-7.75181,-16.1136,-170,-250.0
41.0,-7.25181,-16.1136,-170,-250.0
42.0,-6.75181,-16.1136,-170,-250.0
43.0,-6.25181,-16.1136,-170,-250.0
44.0,-5.75181,-16.1136,-170,-250.0
45.0,-5.25181,-16.1136,-170,-250.0
46.0,-4.75181,-16.1136,-170,-250.0
47.0,-4.25181,-16.1136,-170,-250.0
48.0,-3.75181,-16.1136,-170,-250.0
49.0,-3.25181,-16.1136,-170,-250.0
50.0,-2.75181,-16.1136,-170,-250.0
51.0,-2.25181,-16.1136,-170,-250.0
52.0,-1.75181,-16.1136,-170,-250.0
