X,Y,Predicted Angle,Power (dBm)
-6.25181,1.38644,-152,-73.9506
-1.75181,1.38644,-10,-74.6413
1.24819,1.38644,14,-73.0681
4.24819,1.38644,13,-78.3049
0.748192,0.886438,14,-76.9938
-19.7518,3.38644,-117,-99.8272
-6.25181,1.88644,-152,-75.3951
-17.7518,-2.61356,-136,-250.0
8.74819,-0.113562,-161,-79.7077
7.24819,-1.61356,-161,-78.4182
-26.2518,-1.11356,-126,-104.417
-20.2518,-1.11356,-136,-92.5796
0.248192,-1.11356,13,-76.4647
-22.2518,7.38644,-146,-250.0
6.74819,8.38644,10,-72.6525
1.74819,4.88644,0,-69.7474
-21.7518,6.38644,-126,-98.6806
-1.75181,5.38644,14,-68.9918
-24.2518,5.38644,-126,-98.0834
-3.25181,-11.6136,0,-82.1967
-14.2518,-11.6136,-125,-89.571
-17.2518,-12.1136,-146,-92.4969
-13.2518,-10.1136,-125,-90.4788
-10.7518,-11.1136,-132,-86.6722
-8.25181,-10.6136,-135,-93.3161
-18.7518,-16.1136,-170,-250.0
-4.25181,-15.6136,45,-85.6733
-12.2518,-13.1136,-170,-95.4724
-10.7518,-13.1136,-170,-100.993
-9.75181,-14.6136,-170,-87.569
8.74819,-5.11356,27,-85.6355
-2.75181,-6.11356,0,-82.635
-27.2518,-3.11356,-166,-250.0
-0.751808,-4.61356,11,-77.6813
-1.75181,-4.11356,-5,-78.5724
-10.7518,-8.11356,-143,-91.5416
-19.7518,-9.11356,-128,-99.688
9.24819,9.88644,24,-72.9112
