N,X,Y,Z,Distance,Power (dBm),Phase (deg),Angle
2633.0,-6.25181,1.38644,2.5,10.4666,-73.7135,-74.9494,-170
2642.0,-1.75181,1.38644,2.5,8.73412,-74.6413,-143.705,-170
2648.0,1.24819,1.38644,2.5,8.75259,-74.5706,48.0065,-170
2654.0,4.24819,1.38644,2.5,9.74326,-76.5963,-82.0951,-170
2573.0,0.748192,0.886438,2.5,9.17429,-75.7352,125.163,-170
2902.0,-19.7518,3.38644,2.5,20.54,-250.0,0.0,-170
2707.0,-6.25181,1.88644,2.5,10.0592,-76.4672,130.915,-170
2018.0,-17.7518,-2.61356,2.5,21.5284,-250.0,0.0,-170
2441.0,8.74819,-0.113562,2.5,13.5741,-79.7077,-12.4355,-170
2216.0,7.24819,-1.61356,2.5,13.8541,-78.4182,-168.338,-170
2223.0,-26.2518,-1.11356,2.5,28.2261,-250.0,0.0,-170
2235.0,-20.2518,-1.11356,2.5,22.8333,-105.395,65.0131,-170
2276.0,0.248192,-1.11356,2.5,11.1274,-76.1921,-25.843,-170
3489.0,-22.2518,7.38644,2.5,22.1012,-250.0,0.0,-170
3695.0,6.74819,8.38644,2.5,7.23605,-72.2579,-174.524,-170
3167.0,1.74819,4.88644,2.5,5.51061,-70.77,-101.685,-170
3342.0,-21.7518,6.38644,2.5,21.7484,-250.0,0.0,-170
3234.0,-1.75181,5.38644,2.5,4.8349,-69.8159,-61.9566,-170
3189.0,-24.2518,5.38644,2.5,24.3865,-250.0,0.0,-170
715.0,-3.25181,-11.6136,2.5,21.8134,-78.966,61.5,-170
693.0,-14.2518,-11.6136,2.5,25.7224,-102.305,-45.8886,-170
613.0,-17.2518,-12.1136,2.5,27.86,-109.492,26.1518,-170
917.0,-13.2518,-10.1136,2.5,23.9198,-97.9854,81.5247,-170
774.0,-10.7518,-11.1136,2.5,23.5564,-90.6714,121.017,-170
853.0,-8.25181,-10.6136,2.5,22.0921,-97.2494,144.923,-170
18.0,-18.7518,-16.1136,2.5,31.9715,-250.0,0.0,-170
121.0,-4.25181,-15.6136,2.5,25.9158,-85.7582,-134.68,-170
475.0,-12.2518,-13.1136,2.5,26.0182,-95.4724,145.296,-170
478.0,-10.7518,-13.1136,2.5,25.3645,-100.993,-102.056,-170
258.0,-9.75181,-14.6136,2.5,26.3639,-87.569,-42.0957,-170
1701.0,8.74819,-5.11356,2.5,17.6179,-96.2567,150.603,-170
1530.0,-2.75181,-6.11356,2.5,16.2982,-78.4348,-78.2047,-170
1925.0,-27.2518,-3.11356,2.5,29.9677,-250.0,0.0,-170
1756.0,-0.751808,-4.61356,2.5,14.6204,-78.2365,66.3861,-170
1828.0,-1.75181,-4.11356,2.5,14.1875,-79.9253,-64.3984,-170
1218.0,-10.7518,-8.11356,2.5,20.9099,-97.7337,44.4563,-170
1052.0,-19.7518,-9.11356,2.5,27.2668,-107.352,147.517,-170
3922.0,9.24819,9.88644,2.5,9.55453,-73.0046,-43.6873,-170
2633.0,-6.25181,1.38644,2.5,10.4666,-73.7006,-75.3994,-169
2642.0,-1.75181,1.38644,2.5,8.73412,-74.5983,-146.681,-169
2648.0,1.24819,1.38644,2.5,8.75259,-74.3967,32.1856,-169
2654.0,4.24819,1.38644,2.5,9.74326,-76.5963,-82.0951,-169
2573.0,0.748192,0.886438,2.5,9.17429,-75.7252,123.014,-169
2902.0,-19.7518,3.38644,2.5,20.54,-250.0,0.0,-169
2707.0,-6.25181,1.88644,2.5,10.0592,-76.4672,130.915,-169
2018.0,-17.7518,-2.61356,2.5,21.5284,-108.205,-94.5526,-169
2441.0,8.74819,-0.113562,2.5,13.5741,-79.7077,-12.4355,-169
2216.0,7.24819,-1.61356,2.5,13.8541,-78.4182,-168.338,-169
2223.0,-26.2518,-1.11356,2.5,28.2261,-250.0,0.0,-169
2235.0,-20.2518,-1.11356,2.5,22.8333,-105.245,67.9455,-169
2276.0,0.248192,-1.11356,2.5,11.1274,-74.3696,-38.7618,-169
3489.0,-22.2518,7.38644,2.5,22.1012,-250.0,0.0,-169
3695.0,6.74819,8.38644,2.5,7.23605,-72.2579,-174.524,-169
